date,pm10,pm25,so2,co,o3,no2,hc,ispu_pm10,ispu_pm25,ispu_so2,ispu_co,ispu_o3,ispu_no2,ispu_hc
2024-01-01,20.46,17.44,,871.0,135.4,,14.33,19.0,48.8,0.0,11.0,56.4,,0.7
2024-01-02,17.27,14.6,,881.0,133.19,,17.75,18.1,49.2,0.0,11.0,56.2,,1.8
2024-01-03,13.33,10.67,,716.0,136.67,,,17.0,47.0,0.0,11.0,56.0,,2.0
2024-01-04,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,
2024-01-06,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,
2024-01-08,,,,,,,,,,,,,,
2024-01-09,,,,,,,,,,,,,,
2024-01-10,,,,,,,,,,,,,,
2024-01-11,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,
2024-01-13,,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,,
2024-01-15,,,,,,,,,,,,,,
2024-01-16,,,,,,,,,,,,,,
2024-01-17,,,,,,,,,,,,,,
2024-01-18,,,,,,,,,,,,,,
2024-01-19,,,,,,,,,,,,,,
2024-01-20,,,,,,,,,,,,,,
2024-01-21,,,,,,,,,,,,,,
2024-01-22,,,,,,,,,,,,,,
2024-01-23,19.73,16.33,,496.0,1.0,,,2.6,7.0,0.0,0.4,0.0,0.0,0.0
2024-01-24,12.0,9.62,,461.0,1.0,,,10.3,27.0,0.0,3.1,0.0,,0.0
2024-01-25,,,,,,,,,,,,,,
2024-01-26,,,,,,,,,,,,,,
2024-01-27,,,,,,,,,,,,,,
2024-01-28,,,,,,,,,,,,,,
2024-01-29,,,,,,,,,,,,,,
2024-01-30,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-31,22.67,18.81,51.0,972.0,77.15,36.19,25.15,0.0,0.0,0.0,0.0,0.0,,0.0
2024-02-01,16.71,13.63,42.85,356.0,56.5,21.35,8.12,21.5,52.6,48.1,9.5,27.2,17.4,5.5
2024-02-02,16.5,13.21,44.1,515.0,53.92,21.33,23.43,13.3,34.7,39.5,3.8,22.8,13.3,6.6
2024-02-03,15.63,12.69,44.0,404.0,55.88,20.98,39.11,19.7,49.7,43.9,6.4,23.5,13.4,32.5
2024-02-04,10.33,4.5,38.75,215.0,45.1,17.81,33.75,10.8,25.6,38.9,3.1,21.0,12.0,17.7
2024-02-05,9.15,2.0,42.81,421.0,44.04,16.58,22.06,9.8,8.0,39.2,4.0,17.8,10.1,9.3
2024-02-06,18.0,9.35,36.65,392.0,70.75,48.7,26.15,13.5,11.9,38.2,4.5,23.0,17.3,18.6
2024-02-07,15.43,12.43,33.55,443.0,86.36,63.23,,18.6,44.6,34.0,5.4,33.5,38.2,4.7
2024-02-08,29.0,24.13,43.6,635.0,91.56,62.56,,20.9,52.5,36.8,6.9,36.9,37.9,0.0
2024-02-09,21.96,22.0,42.44,512.0,93.83,74.31,,30.5,58.3,43.0,8.0,40.0,45.0,0.0
2024-02-10,6.0,22.0,38.42,319.0,95.17,73.25,,8.8,58.0,36.2,3.0,38.7,46.5,0.0
2024-02-11,6.0,22.0,38.79,367.0,93.73,66.56,,6.0,58.0,38.7,4.9,39.4,44.0,0.0
2024-02-12,11.69,18.1,39.4,301.0,94.17,63.79,,7.0,56.4,36.9,3.3,39.0,39.2,0.0
2024-02-13,24.65,20.56,41.83,462.0,102.02,80.4,,21.6,55.7,39.5,5.3,40.7,45.0,0.0
2024-02-14,38.56,20.21,39.67,322.0,105.42,88.35,,29.5,56.4,38.4,4.6,44.0,53.6,0.0
2024-02-15,40.0,16.69,42.31,439.0,108.0,94.23,,40.0,51.0,40.0,5.1,43.3,53.3,0.0
2024-02-16,30.04,21.27,39.17,414.0,116.42,100.56,30.5,36.0,54.5,38.8,5.2,46.9,57.8,2.1
2024-02-17,23.92,18.75,42.02,481.0,112.63,105.73,41.29,28.6,59.2,39.5,6.2,48.4,60.1,12.3
2024-02-18,23.0,9.79,36.77,269.0,101.48,77.1,36.18,20.9,34.0,37.3,3.7,44.3,54.3,24.0
2024-02-19,23.0,20.19,42.17,538.0,107.27,98.15,59.68,23.0,48.8,36.5,4.2,43.3,52.8,38.2
2024-02-20,23.0,5.0,40.4,526.0,108.42,86.73,43.0,23.0,38.8,39.3,6.0,44.2,54.9,48.5
2024-02-21,20.45,8.81,38.38,321.0,108.96,101.34,36.67,22.2,17.8,40.1,6.5,45.7,54.8,37.0
2024-02-22,19.23,15.38,33.6,196.0,111.81,93.48,37.77,19.6,43.6,33.8,2.5,46.4,60.6,39.5
2024-02-23,23.44,19.21,35.63,331.0,114.0,87.9,28.79,22.5,53.3,33.5,3.4,47.5,54.0,24.3
2024-02-24,23.69,18.92,41.33,631.0,117.44,103.44,28.76,22.5,53.1,33.7,4.0,48.1,55.9,32.0
2024-02-25,25.4,20.56,42.52,499.0,106.69,78.27,45.84,26.4,57.5,45.1,9.9,46.9,54.5,
2024-02-26,23.15,18.73,38.58,437.0,103.96,69.79,42.48,21.5,51.5,37.1,4.9,42.8,43.5,45.0
2024-02-27,28.55,24.15,47.9,769.0,114.9,104.65,50.5,24.4,55.3,38.5,6.3,44.6,48.0,48.3
2024-02-28,,,,,,,,,,,,,,
2024-02-29,27.69,22.47,46.03,604.0,91.41,59.28,52.57,,,,,,,
2024-03-01,19.98,16.15,48.04,698.0,94.88,66.08,37.63,24.4,55.6,44.4,7.5,39.7,42.2,
2024-03-02,29.35,23.92,58.38,1055.0,89.29,61.92,56.35,26.8,57.8,50.8,11.9,38.3,39.8,
2024-03-03,22.6,18.4,50.19,620.0,83.77,55.56,38.33,26.3,57.3,52.2,12.3,35.8,36.3,
2024-03-04,12.94,10.35,38.4,259.0,81.29,53.29,25.19,14.3,36.5,38.5,3.5,34.7,33.9,19.7
2024-03-05,13.75,10.79,36.69,271.0,83.46,57.27,23.68,15.6,40.1,36.1,3.0,34.6,35.1,19.7
2024-03-06,17.21,13.63,52.75,960.0,80.58,51.23,43.65,14.4,36.8,41.1,6.5,33.7,33.6,34.3
2024-03-07,30.31,24.54,51.56,734.0,79.27,50.19,44.31,22.5,53.1,50.6,11.3,33.6,31.5,
2024-03-08,16.58,13.13,37.52,335.0,82.35,54.56,45.67,27.8,58.6,45.8,7.9,33.5,33.8,31.3
2024-03-09,9.25,7.02,34.81,312.0,87.54,57.02,29.96,9.7,24.1,32.4,3.7,34.9,32.8,22.4
2024-03-10,27.33,22.4,43.13,790.0,95.5,66.94,37.73,15.3,38.0,36.8,6.3,36.9,36.8,29.1
2024-03-11,26.88,21.94,33.19,228.0,98.58,68.56,21.68,29.5,60.8,36.9,6.4,41.9,45.4,11.3
2024-03-12,27.65,22.56,30.29,112.0,99.1,71.17,13.53,26.7,58.1,30.6,1.8,41.0,43.3,8.3
2024-03-13,35.13,28.96,27.58,174.0,113.77,79.25,12.17,33.9,65.4,28.1,1.8,43.9,46.6,7.2
2024-03-14,21.13,17.27,28.58,242.0,112.83,78.04,19.07,27.4,58.7,26.2,2.2,47.5,49.4,8.2
2024-03-15,16.29,13.15,32.73,344.0,107.02,75.67,22.56,17.7,45.5,30.8,4.4,45.9,47.3,20.6
2024-03-16,9.69,7.71,27.92,59.0,99.75,69.54,2.62,12.6,32.4,28.1,2.1,43.8,47.4,6.8
2024-03-17,11.83,9.46,31.04,145.0,95.29,63.08,26.63,11.3,29.3,29.3,1.5,40.5,40.8,8.1
2024-03-18,13.15,10.35,27.77,113.0,99.56,67.13,8.43,12.2,30.5,27.3,1.1,40.6,40.3,3.1
2024-03-19,20.4,16.25,33.08,253.0,98.94,68.88,15.53,19.5,48.3,30.3,2.6,41.6,43.2,6.3
2024-03-20,18.98,14.73,32.85,224.0,99.6,73.73,5.94,19.9,49.7,31.6,3.0,41.0,43.3,3.5
2024-03-21,29.41,23.59,41.24,663.0,100.59,78.51,15.85,21.3,50.9,33.6,4.1,41.8,47.4,6.3
2024-03-22,24.63,19.9,38.33,595.0,98.38,67.02,19.38,30.2,61.2,41.7,9.9,42.0,47.9,
2024-03-23,12.65,10.02,33.6,234.0,94.63,60.56,10.19,16.5,41.5,32.8,4.5,40.3,39.4,10.7
2024-03-24,16.6,13.15,32.94,171.0,93.88,55.44,13.68,15.8,40.3,32.5,2.9,39.0,35.9,9.1
2024-03-25,18.88,14.08,36.13,444.0,100.13,59.54,4.07,16.0,39.3,32.7,3.6,40.2,34.8,3.5
2024-03-26,20.69,15.46,38.71,519.0,96.71,65.98,5.27,19.4,46.5,36.0,6.2,40.9,39.4,
2024-03-27,12.46,9.35,34.31,448.0,95.29,56.9,3.83,15.0,35.9,33.5,4.6,39.9,38.1,
2024-03-28,14.73,11.08,40.25,602.0,99.1,64.85,4.0,16.5,39.5,36.5,6.5,40.2,37.8,
2024-03-29,14.67,11.23,37.44,402.0,97.15,61.4,3.71,14.3,35.4,39.0,7.4,41.1,40.0,
2024-03-30,13.67,10.42,35.98,305.0,95.46,62.98,4.14,14.8,36.6,35.1,4.5,40.9,40.3,
2024-03-31,9.88,7.44,32.17,194.0,96.1,59.4,2.0,9.9,24.4,31.8,2.3,40.1,37.9,1.4
2024-04-01,12.67,9.54,38.56,480.0,94.77,62.75,4.78,12.3,30.1,33.3,3.8,39.4,37.7,
2024-04-02,13.56,10.1,38.35,414.0,95.1,66.75,4.67,12.1,29.0,37.8,6.0,39.1,39.3,
2024-04-03,16.27,12.63,36.98,365.0,95.6,63.96,4.81,17.2,42.6,37.4,5.5,40.1,42.3,
2024-04-04,14.33,10.94,34.25,322.0,102.46,71.96,25.19,12.5,30.7,32.5,3.3,41.0,42.0,4.0
2024-04-05,22.1,17.06,32.75,369.0,95.88,59.25,5.33,19.9,48.0,34.1,4.9,42.3,43.0,
2024-04-06,17.38,13.48,29.13,175.0,93.9,52.56,4.56,19.7,48.5,28.8,3.3,38.8,32.8,1.0
2024-04-07,29.19,22.31,29.29,183.0,97.02,53.96,3.5,18.2,44.3,27.8,2.0,39.6,33.0,0.9
2024-04-08,12.71,10.08,29.94,230.0,99.21,57.6,4.07,25.8,55.1,29.2,2.9,41.0,35.4,1.4
2024-04-09,20.77,16.21,31.42,264.0,97.44,60.79,2.88,15.0,37.5,28.5,2.2,41.3,37.4,1.3
2024-04-10,19.4,15.31,,250.0,90.35,52.71,4.14,24.6,54.8,31.2,3.3,39.3,35.0,
2024-04-11,9.15,6.96,,194.0,86.5,49.0,2.2,11.3,28.0,30.6,2.7,35.8,31.0,0.4
2024-04-12,19.19,15.0,31.33,269.0,92.75,53.29,3.25,14.8,37.4,29.4,2.9,37.6,32.1,0.4
2024-04-13,11.56,9.02,30.58,241.0,92.29,56.79,2.6,14.6,36.4,29.8,3.0,39.0,35.0,0.0
2024-04-14,16.92,13.46,32.13,353.0,97.44,57.46,3.14,14.3,36.2,31.5,4.5,39.3,35.4,0.0
2024-04-15,23.52,19.0,32.58,363.0,101.13,61.31,4.47,21.5,51.8,30.9,4.7,42.1,38.5,
2024-04-16,16.31,12.94,29.17,201.0,93.31,50.71,3.76,18.5,46.5,29.4,2.7,40.6,34.9,1.8
2024-04-17,20.29,15.75,32.02,279.0,94.08,52.44,3.33,18.5,46.1,28.6,3.0,38.4,30.5,1.5
2024-04-18,14.96,12.38,34.65,428.0,98.73,65.88,3.64,17.7,45.8,31.4,3.8,40.5,38.3,
2024-04-19,16.21,14.4,30.88,291.0,101.29,59.83,3.35,15.8,43.6,33.0,5.3,40.7,37.8,2.0
2024-04-20,19.5,16.42,33.81,446.0,105.29,68.1,3.15,17.1,47.7,31.1,4.8,43.3,40.0,2.0
2024-04-21,27.85,23.69,30.67,323.0,107.98,71.48,3.68,24.0,56.0,30.6,4.5,45.1,45.3,2.0
2024-04-22,22.33,18.9,36.58,475.0,98.77,60.63,4.77,26.4,58.5,32.7,5.5,42.6,40.3,2.0
2024-04-23,18.0,15.35,43.08,736.0,95.31,63.4,2.71,19.2,50.7,36.3,6.0,40.3,39.3,
2024-04-24,31.13,26.29,44.35,736.0,96.79,61.27,6.6,23.4,55.4,45.0,11.2,39.4,37.0,
2024-04-25,28.54,24.75,39.54,540.0,96.6,64.17,4.25,32.6,65.3,39.3,7.1,40.8,41.2,
2024-04-26,18.98,17.83,33.67,348.0,98.08,62.98,3.91,21.2,54.0,35.2,5.6,40.0,37.6,
2024-04-27,17.79,15.29,34.0,395.0,102.69,72.06,3.88,18.1,51.4,32.0,4.5,41.8,42.1,
2024-04-28,34.23,29.02,33.73,389.0,106.35,74.38,3.5,29.5,61.8,34.2,5.8,44.5,48.9,
2024-04-29,25.0,20.98,34.23,404.0,101.71,67.75,3.05,27.8,59.9,31.1,4.1,43.5,43.6,2.0
2024-04-30,34.5,29.0,36.94,549.0,104.63,73.33,5.46,28.5,60.8,34.4,5.9,42.6,43.9,
2024-05-01,27.6,27.6,32.83,330.0,99.81,64.67,4.43,35.1,67.0,33.5,5.5,42.8,43.0,
2024-05-02,23.17,23.17,36.63,425.0,92.75,58.63,4.5,31.6,63.5,33.1,4.6,40.3,38.7,
2024-05-03,23.1,23.1,35.38,378.0,87.1,56.81,2.62,24.0,55.4,34.2,4.7,37.4,35.7,
2024-05-04,17.56,17.56,31.38,197.0,88.83,54.79,1.43,26.9,58.8,32.8,4.0,36.2,34.9,0.0
2024-05-05,21.67,21.67,34.31,386.0,91.46,54.44,3.38,22.1,53.7,31.0,3.1,37.2,33.4,0.3
2024-05-06,19.04,19.04,33.0,313.0,92.44,54.0,2.64,24.8,56.5,33.0,5.2,38.8,34.3,1.0
2024-05-07,17.44,17.44,32.58,237.0,87.88,52.63,3.75,26.5,58.2,31.4,3.3,37.8,32.5,1.0
2024-05-08,21.65,21.65,31.44,376.0,94.02,58.94,3.69,19.0,48.8,31.6,3.8,38.0,36.2,2.0
2024-05-09,46.73,46.73,34.23,605.0,102.48,61.25,3.31,40.2,72.8,30.8,5.9,39.8,35.7,
2024-05-10,40.79,40.79,35.1,463.0,97.63,57.92,3.09,52.4,88.5,33.7,7.0,42.5,39.0,
2024-05-11,35.71,35.71,33.1,367.0,102.81,59.67,4.0,45.4,78.2,32.6,5.3,41.9,36.5,
2024-05-12,36.54,36.54,33.48,357.0,97.69,57.92,3.67,41.0,73.8,32.0,4.2,41.9,36.6,
2024-05-13,34.42,34.42,35.46,436.0,93.4,52.44,3.65,43.3,75.9,33.6,5.2,39.3,34.4,
2024-05-14,31.38,31.38,33.88,386.0,96.23,54.5,4.07,37.8,70.5,33.2,5.0,39.5,32.6,
2024-05-15,40.04,40.04,38.13,588.0,92.15,53.81,5.5,42.7,75.1,34.4,5.9,39.1,34.3,
2024-05-16,29.9,29.9,36.06,417.0,89.0,47.77,3.78,44.1,76.3,35.8,6.3,37.8,31.1,
2024-05-17,30.69,30.69,37.65,600.0,101.46,58.21,3.18,34.5,67.0,34.8,5.8,38.8,32.2,
2024-05-18,31.31,31.31,35.63,451.0,104.96,66.9,3.0,42.1,75.2,37.2,7.9,43.8,41.3,
2024-05-19,18.35,18.35,27.98,177.0,101.54,60.73,3.08,27.0,58.8,29.6,3.5,42.8,39.7,1.0
2024-05-20,29.03,29.03,30.83,419.0,109.97,72.88,3.44,23.6,55.4,26.4,2.4,43.0,37.0,1.0
2024-05-21,31.56,31.56,31.33,406.0,110.71,75.21,3.05,36.1,68.6,30.7,5.2,45.8,47.2,
2024-05-22,34.0,34.0,28.46,341.0,114.63,75.06,4.4,35.5,67.8,28.3,4.3,46.9,46.2,3.0
2024-05-23,37.54,37.54,27.92,258.0,111.38,71.69,3.63,44.0,76.3,27.7,3.9,47.0,47.1,2.4
2024-05-24,41.29,41.29,31.33,392.0,107.56,66.5,3.13,47.0,80.0,27.6,3.7,46.4,43.9,0.9
2024-05-25,33.48,33.48,36.88,567.0,103.46,59.81,5.0,47.7,81.0,33.5,6.5,44.0,39.5,
2024-05-26,23.13,23.13,32.29,277.0,94.25,48.44,4.5,32.3,64.4,32.9,4.9,41.0,33.1,1.0
2024-05-27,33.13,33.13,31.67,416.0,102.19,53.88,4.33,32.8,65.3,32.0,4.8,39.8,30.3,0.3
